"_system_object_id","oeu-nc-name-en","tag-add"
"111673","Pan Factory Epos : New Roofing","ed-dc-leo"
"111674","Manufacturing Halls Heinz Messmer","ed-dc-leo"
"111675","HIB : Thyon 2000 : Conference Room and Tennis Hall","ed-dc-leo"
"111676","Various Request With Little Material","ed-dc-leo"
"111677","North-South Garage Felber & Engler : Exhibition Hall","ed-dc-leo"
"111678","German Red Cross : Garage and Warehouse (Single-Family House Balz : Extension)","ed-dc-leo"
"111679","Building and Civil Engineering Company Johann Hackl : Parking Garage","ed-dc-leo"
"111680","Müller and Laubscher","ed-dc-leo"
"111681","Heat Treatment Gerster AG","ed-dc-leo"
"111682","Engineer E. Hauptmann, Essen","ed-dc-leo"
"111683","Chemical Technical Products Blaser & Co. AG (Today Blaser Swisslube AG) (""Blaha"")","ed-dc-leo"
"111685","Shoe Wholesale JLCO J. Lüthi + Co.AG : Buchmatt Warehouse (Hall Expo 64 Lausanne)","ed-dc-leo"
"111686","Florélites Clause SA : Garden Center RN 7 Saint-Fargeau-Ponthierry : Village D’Artisans (Artists’ Studios)","ed-dc-leo"
"111687","Documents on Domed Skylights, Crane Systems and a Test Shell","ed-dc-leo"
"111688","Architects Suter & Suter : New Garage Building","ed-dc-leo"
"111689","HIB : Broadland Sports Village : Tennis Hall and Event Hall","ed-dc-leo"
"111690","HIB : Clydebank Sport Village : Multisport Hall : Bowling Hall : Indoor Swimming Pool","ed-dc-leo"
"111691","Antibakteria AG","ed-dc-leo"
"111693","Albert Burkart : Warehouse","ed-dc-leo"
"111694","Bicycle Factory Mondia : Spare Parts Store : New Building","ed-dc-leo"
"111695","Carl Spaeter AG","ed-dc-leo"
"111696","Südwestdeutsche Verkehrs-AG SWEG : Railcar Maintenance Hall Ottenhöfen","ed-dc-leo"
"111697","Earthhouse Martin Tschaggelar : Birchen Eco-Pilot Project","ed-dc-leo"
"111698","Car Body Factory Ramseier & Jenzer AG : Workshops in Worblaufen : New Building","ed-dc-leo"
"111699","Arkina SA (Wüthrich Thun)","ed-dc-leo"
"111700","Federal Labor Inspectorate, District 2","ed-dc-leo"
"111701","Office for Weights and Measures Amg (Today Swiss Federal Institute for Metrology Metas) : Tower Top","ed-dc-leo"
"111702","Aluminum Watercraft Factory Spiboot","ed-dc-leo"
"111703","Alucoplast Scandinavia : Light Metal Window Factory","ed-dc-leo"
"111705","Stromeyer & Co. GmbH","ed-dc-leo"
"111706","Michael Bardey : Conversation","ed-dc-leo"
"111707","Swiss Army : Habkern Bridge","ed-dc-leo"
"111709","Stadttheater Winterthur : Civil Defense System","ed-dc-leo"
"111710","Munich Olympic Park : Olympic Stadium","ed-dc-leo"
"111711","Store for Mr. Bin-Yaqub","ed-dc-leo"
"111712","Single-Family House Etter Lurtigen","ed-dc-leo"
"111713","LIAS Leichtbaustoffe GmbH","ed-dc-leo"
"111714","Hunziker","ed-dc-leo"
"111715","Inelectra SA : Exhibition Hall","ed-dc-leo"
"111716","Jakober : Roofing of the Factory Area","ed-dc-leo"
"111717","New Garage Construction","ed-dc-leo"
"111718","Naturtheater Stetten (Today Theater Under the Cupolas)","ed-dc-leo"
"111719","Mercedes Benz Automobil AG : Extension","ed-dc-leo"
"111720","Nuclear Shelter Buildco","ed-dc-leo"
"111721","Church Building in Mödling","ed-dc-leo"
"111722","Warehouse","ed-dc-leo"
"111723","Petrol Station Shell AG","ed-dc-leo"
"111724","Günter AG (GMB Technology)","ed-dc-leo"
"111725","Garage Sergio Starini","ed-dc-leo"
"111726","Factory Building W. Ruf : Storey Addition","ed-dc-leo"
"111727","Nato Warehouses","ed-dc-leo"
"111728","Kodak","ed-dc-leo"
"111729","Alfons Mayolani, Transportation","ed-dc-leo"
"111730","Flughafen Stuttgart Gmbh : Aircraft Maintenance Hangar : New Building","ed-dc-leo"
"111731","Construction Machinery AG","ed-dc-leo"
"111732","Round Coal Storage","ed-dc-leo"
"111733","Garage Epper : Workshop","ed-dc-leo"
"111734","Spring Factory Straub (Today Spring Factory Wangs AG)","ed-dc-leo"
"111735","Meat Factory Micarna II","ed-dc-leo"
"111736","Gustav Gerig + Co. AG : Production and Storage Halls : New Building","ed-dc-leo"
"111737","H. Frei : Hall Construction","ed-dc-leo"
"111738","Garage","ed-dc-leo"
"111740","Galenica AG","ed-dc-leo"
"111742","Hewlett-Packard : Test Hood","ed-dc-leo"
"111743","Albert Burkart : Warehouse","ed-dc-leo"
"111744","Bicycle Factory Mondia : Spare Parts Store : New Building","ed-dc-leo"
"111745","Carl Spaeter AG","ed-dc-leo"
"111746","Südwestdeutsche Verkehrs-AG SWEG : Railcar Maintenance Hall Ottenhöfen","ed-dc-leo"
"111747","Earthhouse Martin Tschaggelar : Birchen Eco-Pilot Project","ed-dc-leo"
"111748","Car Body Factory Ramseier & Jenzer AG : Workshops in Worblaufen : New Building","ed-dc-leo"
"111749","Arkina SA (Wüthrich Thun)","ed-dc-leo"
"111750","Federal Labor Inspectorate, District 2","ed-dc-leo"
"111751","Office for Weights and Measures Amg (Today Swiss Federal Institute for Metrology Metas) : Tower Top","ed-dc-leo"
"111752","Aluminum Watercraft Factory Spiboot","ed-dc-leo"
"111753","Alucoplast Scandinavia : Light Metal Window Factory","ed-dc-leo"
"111755","Stromeyer & Co. GmbH","ed-dc-leo"
"111756","Michael Bardey : Conversation","ed-dc-leo"
"111757","Swiss Army : Habkern Bridge","ed-dc-leo"
"111759","Stadttheater Winterthur : Civil Defense System","ed-dc-leo"
"111760","Munich Olympic Park : Olympic Stadium","ed-dc-leo"
"111761","Store for Mr. Bin-Yaqub","ed-dc-leo"
"111762","Single-Family House Etter Lurtigen","ed-dc-leo"
"111763","LIAS Leichtbaustoffe GmbH","ed-dc-leo"
"111764","Hunziker","ed-dc-leo"
"111765","Inelectra SA : Exhibition Hall","ed-dc-leo"
"111766","Jakober : Roofing of the Factory Area","ed-dc-leo"
"111767","New Garage Building","ed-dc-leo"
"111768","Natural Theatre Stetten","ed-dc-leo"
"111769","Mercedes Benz Automobil AG : Extension","ed-dc-leo"
"111770","Nuclear Shelter Buildco","ed-dc-leo"
"111771","Church Building in Mödling","ed-dc-leo"
"111772","Warehouse","ed-dc-leo"
"111773","Petrol Station Shell AG","ed-dc-leo"
"111774","Günter AG (GMB Technology)","ed-dc-leo"
"111775","Garage Sergio Starini","ed-dc-leo"
"111776","Factory Building W. Ruf : Storey Addition","ed-dc-leo"
"111777","Nato Warehouses","ed-dc-leo"
"111778","Kodak","ed-dc-leo"
"111779","Alfons Mayolani, Transportation","ed-dc-leo"
"111780","Flughafen Stuttgart Gmbh : Aircraft Maintenance Hangar : New Building","ed-dc-leo"
"111781","Construction Machinery AG","ed-dc-leo"
"111782","Round Coal Storage","ed-dc-leo"
"111783","Garage Epper : Workshop","ed-dc-leo"
"111784","Spring Factory Straub (Today Spring Factory Wangs AG)","ed-dc-leo"
"111785","Meat Factory Micarna II","ed-dc-leo"
"111786","Gustav Gerig + Co. AG : Production and Storage Halls : New Building","ed-dc-leo"
"111787","H. Frei : Hall Construction","ed-dc-leo"
"111788","Garage","ed-dc-leo"
"111789","Plastic Factory Starkermann & Cie. : Warehouse : New Building","ed-dc-leo"
"111790","Galenica AG","ed-dc-leo"
"111791","Central Station Stuttgart 21 : Static Calculations","ed-dc-leo"
"111792","Inner Walls of a Rather Small Object","ed-dc-leo"
"111793","Brewery Haldengut : Canopies Bottle Shop","ed-dc-leo"
"111794","Agricultural Machinery Dealership and Workshop","ed-dc-leo"
"111795","Pro Rheno Betriebs AG : Ara Wastewater Treatment Plant : Cover Wastewater Tanks","ed-dc-leo"
"111796","13. Asian Games 1998 : Sports Center","ed-dc-leo"
"111797","Federal Garden Show","ed-dc-leo"
"111798","Barrel Trade Charles Jaccaz","ed-dc-leo"
"111800","Flat Roof Hall Räss + Co. AG","ed-dc-leo"
"111801","Architect J. Schröder","ed-dc-leo"
"111802","Perforag Ltd. : New Building","ed-dc-leo"
"111803","Bürgenmeier-Kirsmer","ed-dc-leo"
"111804","Granulate Silo Haka AG : Calculations (Foundations)","ed-dc-leo"
"111806","Garage Egloff","ed-dc-leo"
"111807","Hr. Koch : New Building","ed-dc-leo"
"111808","Brugg Cable Works","ed-dc-leo"
"111809","Single-Family House Rolf Meier","ed-dc-leo"
"111811","Architect L. Chiesa : Magazine Building","ed-dc-leo"
"111812","Church Center Hünenberg","ed-dc-leo"
"111813","Ballet School Stauffer","ed-dc-leo"
"111814","Fire Department Magazine Alchenflüh","ed-dc-leo"
"111815","Golf Geneva","ed-dc-leo"
"111816","Nuclear Shelter Europea de Proteccion Y Seguridad","ed-dc-leo"
"111817","Laundry Bardusch","ed-dc-leo"
"111818","Volg Fehraltdorf : Agrola Self-Service Petrol Station AGROLA","ed-dc-leo"
"111819","Various Sketches","ed-dc-leo"
"111820","Curling Ice Rink","ed-dc-leo"
"111821","Gebrüder Dürst : Conversion of the Hay Barn, Installation of Employee Housing","ed-dc-leo"
"111822","Residence P. Roch","ed-dc-leo"
"111823","Wolff Warehouse","ed-dc-leo"
"111824","Car Dealership Katz : Repair and Exhibition Hall : New Building","ed-dc-leo"
"111825","Buchecker, Warehouse : New Building","ed-dc-leo"
"111826","E. Bärtschi : Iron and Aluminum Foundry : Extension","ed-dc-leo"
"111827","Car Body Shop Kiener","ed-dc-leo"
"111830","Motor Vehicle Inspection (MFK)","ed-dc-leo"
"111832","Rexer Company : Watch Factory : New Building","ed-dc-leo"
"111833","New Hall in Wetzikon","ed-dc-leo"
"111834","Thomann Druck AG","ed-dc-leo"
"111836","Construction Business Hugo Oettli : Warehouse","ed-dc-leo"
"111839","Weekend House Delphino","ed-dc-leo"
"111841","Scout Home","ed-dc-leo"
"111842","Photo Studio Rolf E. Menzel","ed-dc-leo"
"111843","Inner Walls of a Rather Small Object","ed-dc-leo"
"111844","Brewery Haldengut : Canopies Bottle Shop","ed-dc-leo"
"111845","Agricultural Machinery Dealership and Workshop","ed-dc-leo"
"111846","Pro Rheno Betriebs AG : Ara Wastewater Treatment Plant : Cover Wastewater Tanks","ed-dc-leo"
"111847","13. Asian Games 1998 : Sports Center","ed-dc-leo"
"111848","Federal Garden Show","ed-dc-leo"
"111849","Barrel Trade Charles Jaccaz : Hall, Office Building","ed-dc-leo"
"111850","Construction Company W. Bösiger AG","ed-dc-leo"
"111851","Flat Roof Hall Räss + Co. AG","ed-dc-leo"
"111852","Architect J. Schröder","ed-dc-leo"
"111853","Perforag Ltd. : New Building","ed-dc-leo"
"111854","Bürgenmeier-Kirsmer","ed-dc-leo"
"111855","Granulate Silo Haka AG : Calculations (Foundations)","ed-dc-leo"
"111856","Metalworking Haba AG","ed-dc-leo"
"111857","Garage Egloff","ed-dc-leo"
"111858","Hr. Koch : New Building","ed-dc-leo"
"111859","Brugg Cable Works","ed-dc-leo"
"111860","Single-Family House Rolf Meier","ed-dc-leo"
"111861","Pastry Shop and Tea Room Neuhaus : Canopy","ed-dc-leo"
"111862","Architect L. Chiesa : Magazine Building","ed-dc-leo"
"111863","Church Center Hünenberg","ed-dc-leo"
"111864","Ballet School Stauffer","ed-dc-leo"
"111865","Fire Department Magazine Alchenflüh","ed-dc-leo"
"111866","Golf Geneva","ed-dc-leo"
"111867","Nuclear Shelter Europea de Proteccion Y Seguridad","ed-dc-leo"
"111868","Laundry Bardusch","ed-dc-leo"
"111869","Volg Fehraltdorf : Agrola Self-Service Petrol Station AGROLA","ed-dc-leo"
"111870","Various Sketches","ed-dc-leo"
"111871","Curling Ice Rink","ed-dc-leo"
"111872","Gebrüder Dürst : Conversion of the Hay Barn, Installation of Employee Housing","ed-dc-leo"
"111873","Residence P. Roch","ed-dc-leo"
"111874","Wolff Warehouse","ed-dc-leo"
"111875","Car Dealership Katz : Repair and Exhibition Hall : New Building","ed-dc-leo"
"111876","Buchecker, Warehouse : New Building","ed-dc-leo"
"111877","E. Bärtschi : Iron and Aluminum Foundry : Extension","ed-dc-leo"
"111878","Car Body Shop Kiener","ed-dc-leo"
"111880","Various Request With Little Material","ed-dc-leo"
"111881","Motor Vehicle Inspection (MFK)","ed-dc-leo"
"111883","Rexer Company : Watch Factory","ed-dc-leo"
"111884","New Hall in Wetzikon","ed-dc-leo"
"111885","Thomann Druck AG","ed-dc-leo"
"111886","Army Motor Vehicle Park AMP, Burgdorf : Office for Federal Buildings, Construction Group 3 : Petrol Station Roof Renovation Burgdorf, Militärstrasse","ed-dc-leo"
"111887","Construction Business Hugo Oettli : Warehouse","ed-dc-leo"
"111888","Garage Rossetti : New Building : Garage Moderne Exhibition Hall","ed-dc-leo"
"111889","Weekend House Delphino","ed-dc-leo"
"111890","Scout Home","ed-dc-leo"
"111891","Photo Studio Rolf E. Menzel","ed-dc-leo"
"111892","Bossard Cupole Clause : Garden Center","ed-dc-leo"
"111893","Conti Electronic Wholesale","ed-dc-leo"
"111894","Forster : Factory Extension","ed-dc-leo"
"111897","Magsa SA : Shell Construction : New Building","ed-dc-leo"
"111898","Spechtweg Parking Garage","ed-dc-leo"
"111899","Furniture Factory Nothdurft","ed-dc-leo"
"111900","Office in Chur","ed-dc-leo"
"111901","Wegmüller Residential and Commercial Building","ed-dc-leo"
"111902","Fire Extinguisher Factory Sicli SA","ed-dc-leo"
"111903","Textile Factory, Paul Hofmann AG : New Building","ed-dc-leo"
"111904","Home Textiles Linotex AG","ed-dc-leo"
"111905","P. Wolf Warehouse","ed-dc-leo"
"111907","Probat Works","ed-dc-leo"
"111908","World Exhibition Expo 2010 : Swiss Pavilion","ed-dc-leo"
"111909","Savings Bank Aek Burgdorf : Conversion and Renovation (Today Galerie Im Park and Finox)","ed-dc-leo"
"111910","Epace Real Estate AG : New Hall Construction","ed-dc-leo"
"111911","Car Body Factory K. Sommer","ed-dc-leo"
"111913","Epper : Exhibition Hall : New Building","ed-dc-leo"
"111914","Machine Factory, F. Steck","ed-dc-leo"
"111915","Office Chairs Stoll Giroflex AG","ed-dc-leo"
"111916","Restaurant Termaba SA","ed-dc-leo"
"111917","Pariser Platz 3 Grundbesitz Gesellschaft GmbH : Conference Hall","ed-dc-leo"
"111918","Architectural Office Strub","ed-dc-leo"
"111919","Timm-Bau GmbH : Round House Types Rondo and Rondolino","ed-dc-leo"
"111920","Mosque","ed-dc-leo"
"111921","Theater National : Set Design : Yellow Sound : Wassily Kandinsky","ed-dc-leo"
"111922","Daimler Chrysler Museum : MB (Mercedes-Benz) Center","ed-dc-leo"
"111923","Arch. Büro Urbania : Workshop Baden","ed-dc-leo"
"111924","Neat 2000 : Noise Protection Measures","ed-dc-leo"
"111925","Holzbauwerk Umdasch KG : City Architect: Anton Traunfeller : New Factory Building","ed-dc-leo"
"111926","HIB : Barn Elms Sport Village : Indoor Tennis Center","ed-dc-leo"
"111927","Dähler & Co.","ed-dc-leo"
"111928","Alpina Fine Food AG","ed-dc-leo"
"111929","Car Body Shop Baumann","ed-dc-leo"
"111930","Grogg Swimming Pool","ed-dc-leo"
"111931","Building Projects in the Buchs Area","ed-dc-leo"
"111932","KS Skylight, 7 m Diameter","ed-dc-leo"
"111933","P. Neuhaus : Garage : New Building","ed-dc-leo"
"111934","Requests Aera","ed-dc-leo"
"111935","Riding Arena in the Bex / Monthey Area","ed-dc-leo"
"111936","Zweygart : Industrial Hall","ed-dc-leo"
"111937","Mannhart Gebrüder : Workshop and Office Building","ed-dc-leo"
"111938","Nuclear Shelter Hageha","ed-dc-leo"
"111939","Disposal and Recycling AG : Recycling Hall","ed-dc-leo"
"111940","General Motors Garage Wyder","ed-dc-leo"
"111941","Dome 140 m","ed-dc-leo"
"111942","Bossard Cupole Clause : Garden Center","ed-dc-leo"
"111943","Conti Electronic Wholesale","ed-dc-leo"
"111944","Forster : Factory Extension","ed-dc-leo"
"111945","Mechanical Workshop Kurt Studer (Today Studer AG Landtechnik and Umwelttechnik) : Steel Canopy","ed-dc-leo"
"111946","Holzwerke Gebrüder Tschopp : Prestressed Concrete Beams","ed-dc-leo"
"111947","Magsa SA : Shell Construction : New Building","ed-dc-leo"
"111948","Spechtweg Parking Garage","ed-dc-leo"
"111949","Furniture Factory Nothdurft","ed-dc-leo"
"111950","Office in Chur","ed-dc-leo"
"111951","Wegmüller Residential and Commercial Building","ed-dc-leo"
"111952","Fire Extinguisher Factory Sicli SA","ed-dc-leo"
"111953","Textile Factory, Paul Hofmann AG","ed-dc-leo"
"111954","Home Textiles Linotex AG : Wydenhof Weaving Mill","ed-dc-leo"
"111955","P. Wolf Warehouse","ed-dc-leo"
"111956","Blaser Machinery AG","ed-dc-leo"
"111957","Probat Works","ed-dc-leo"
"111958","World Exhibition Expo 2010 : Swiss Pavilion","ed-dc-leo"
"111959","Savings Bank Aek Burgdorf : Conversion and Renovation (Today Galerie Im Park and Finox)","ed-dc-leo"
"111960","Epace Real Estate AG : New Hall Construction","ed-dc-leo"
"111961","Car Body Factory K. Sommer","ed-dc-leo"
"111962","Bodywork Rusterholz AG","ed-dc-leo"
"111963","Epper : Exhibition Hall : New Building","ed-dc-leo"
"111964","Machine Factory, F. Steck","ed-dc-leo"
"111965","Office Chairs Stoll Giroflex AG","ed-dc-leo"
"111966","Restaurant Termaba SA","ed-dc-leo"
"111967","Pariser Platz 3 Grundbesitz Gesellschaft GmbH : Conference Hall","ed-dc-leo"
"111968","Architectural Office Strub","ed-dc-leo"
"111969","Timm-Bau GmbH : Round House Types Rondo and Rondolino","ed-dc-leo"
"111970","Mosque","ed-dc-leo"
"111971","Theater National : Set Design : Yellow Sound : Wassily Kandinsky","ed-dc-leo"
"111972","Daimler Chrysler Museum : MB (Mercedes-Benz) Center","ed-dc-leo"
"111973","Arch. Büro Urbania : Workshop Baden","ed-dc-leo"
"111974","Neat 2000 : Noise Protection Measures","ed-dc-leo"
"111975","Holzbauwerk Umdasch KG : City Architect: Anton Traunfeller : New Factory Building","ed-dc-leo"
"111976","HIB : Barn Elms Sport Village : Indoor Tennis Center","ed-dc-leo"
"111977","Dähler & Co.","ed-dc-leo"
"111978","Alpina Fine Food AG","ed-dc-leo"
"111979","Car Body Shop Baumann : Extension","ed-dc-leo"
"111980","Grogg Swimming Pool","ed-dc-leo"
"111981","Building Projects in the Buchs Area","ed-dc-leo"
"111982","KS Skylight, 7 m Diameter","ed-dc-leo"
"111983","P. Neuhaus : Garage : New Building","ed-dc-leo"
"111984","Requests Aera","ed-dc-leo"
"111985","Riding Arena in the Bex / Monthey Area","ed-dc-leo"
"111986","Zweygart : Industrial Hall","ed-dc-leo"
"111987","Mannhart Gebrüder : Workshop and Office Building","ed-dc-leo"
"111988","Nuclear Shelter Hageha","ed-dc-leo"
"111989","Disposal and Recycling AG : Recycling Hall","ed-dc-leo"
"111990","General Motors Garage Wyder","ed-dc-leo"
"111991","Dome 140 m","ed-dc-leo"
"111992","Cavern Installations: UMA-0 Facility; Plastic Vaulted Shells","ed-dc-leo"
"111993","Florélites Clause SA : Garden Center RN 12 Plaisir (Today Jardinerie Truffaut)","ed-dc-leo"
"111994","IMBAU Gmbh Leverkusen : Industrial Hall","ed-dc-leo"
"111995","Kindergarten and Day Care Center in Furttal","ed-dc-leo"
"111996","Sport Village Folkeston","ed-dc-leo"
"111997","Zweckform Kitchen Furniture Company : Production Hall","ed-dc-leo"
"111998","Architect B. P. Oberer","ed-dc-leo"
"111999","Architect Kleiber : Migros Shopping Center","ed-dc-leo"
"112000","Architectural Office Suter + Suter (Zoo ?)","ed-dc-leo"
"112001","Tunnel Allmend","ed-dc-leo"
"112002","Garage Extension in Sankt Gallen","ed-dc-leo"
"112003","State Building School Stuttgart : Oberbaurat Heidn : Student Work","ed-dc-leo"
"112004","Architect Ernst Billeter","ed-dc-leo"
"112006","Tool Factory Neher AG : Production Hall","ed-dc-leo"
"112007","New Building in Brislach","ed-dc-leo"
"112008","Object in Grenchen","ed-dc-leo"
"112009","Ventilation Systems Dübi & Co. : Slurry Tank","ed-dc-leo"
"112010","Finance Building Authority Munich : Hunters Barracks, Warming Hall : New Building","ed-dc-leo"
"112011","New Garage Mauerhofer","ed-dc-leo"
"112012","Petrol Station Roofing : Ritz","ed-dc-leo"
"112013","Cement Goods Factory K. Studer","ed-dc-leo"
"112014","Brander Reisen : Car Dealership : New Building","ed-dc-leo"
"112015","Professor E. Schunk : Competition for Ideas : Waste Recycling","ed-dc-leo"
"112016","Maison CH. Duc SA","ed-dc-leo"
"112017","Quelle Mail Order Company : Storey Addition","ed-dc-leo"
"112018","Becker Autoradiowerk GmbH : New Factory Building Zweigwerk","ed-dc-leo"
"112019","Colonial Purchasing Society (EG) Burgdorf","ed-dc-leo"
"112020","Garage Schnetz","ed-dc-leo"
"112021","Auto Repair Center","ed-dc-leo"
"112023","Kleiber Company : New Building","ed-dc-leo"
"112024","Cavern Installations : Plant M60R; Plastic Vaulted Shells","ed-dc-leo"
"112026","Diehl","ed-dc-leo"
"112027","Garage Rudolf Schweizer : Workshop : Extension","ed-dc-leo"
"112028","Double Single-Family House Hermann Lüthi","ed-dc-leo"
"112029","Stiermann KG : Industrial Hall","ed-dc-leo"
"112030","Car Dealership Thomann","ed-dc-leo"
"112031","Heat Treatment Gerster AG : Factory Extension","ed-dc-leo"
"112032","Nuclear Shelter Chambre de Commerce Suisse en France","ed-dc-leo"
"112033","Pneufabrik Maloja AG : New Hall Construction","ed-dc-leo"
"112034","Emergency Shelter Roth","ed-dc-leo"
"112035","P.O. Box 1010","ed-dc-leo"
"112036","Machine Factory Bern AG","ed-dc-leo"
"112038","Brewery Langenthal : Foundation for Scissor Lift Table","ed-dc-leo"
"112039","Folding Unit","ed-dc-leo"
"112040","Florélites Clause SA Brétigny-Sur-L’Orge","ed-dc-leo"
"112041","Tödi-Plast AG : Injection Molding Technology","ed-dc-leo"
"112042","Cavern Installations: Plant m63a ; Plastic Vaulted Shells","ed-dc-leo"
"112043","Florélites Clause SA : Garden Center RN 12 Plaisir (Today Jardinerie Truffaut)","ed-dc-leo"
"112044","IMBAU Gmbh Leverkusen : Industrial Hall","ed-dc-leo"
"112045","Kindergarten and Day Care Center in Furttal","ed-dc-leo"
"112046","Sport Village Folkeston","ed-dc-leo"
"112047","Zweckform Kitchen Furniture Company : Production Hall","ed-dc-leo"
"112048","Architect B. P. Oberer","ed-dc-leo"
"112049","Architect Kleiber : Migros Shopping Center","ed-dc-leo"
"112050","Architectural Office Suter + Suter (Zoo ?)","ed-dc-leo"
"112051","Allmend Tunnel","ed-dc-leo"
"112052","Garage Extension in Sankt Gallen","ed-dc-leo"
"112053","State Building School Stuttgart : Oberbaurat Heidn : Student Work","ed-dc-leo"
"112054","Architect Ernst Billeter","ed-dc-leo"
"112055","No Information About the Client","ed-dc-leo"
"112056","Tool Factory Neher AG : Production Hall","ed-dc-leo"
"112057","New Building in Brislach","ed-dc-leo"
"112058","Object in Grenchen","ed-dc-leo"
"112059","Ventilation Systems Dübi & Co. : Slurry Tank","ed-dc-leo"
"112060","Finance Building Authority Munich : Hunters Barracks, Warming Hall : New Building","ed-dc-leo"
"112061","New Garage Building Mauerhofer","ed-dc-leo"
"112062","Petrol Station Roofing : Ritz","ed-dc-leo"
"112063","Cement Factory K. Studer","ed-dc-leo"
"112064","Brander Reisen : Car Dealership : New Building","ed-dc-leo"
"112065","Professor E. Schunk : Competition for Ideas : Waste Recycling","ed-dc-leo"
"112066","Maison CH. Duc SA","ed-dc-leo"
"112067","Quelle Mail Order Company : Storey Addition","ed-dc-leo"
"112068","Becker Autoradiowerk GmbH : New Factory Building Zweigwerk","ed-dc-leo"
"112069","Colonial Purchasing Society (EG) Burgdorf","ed-dc-leo"
"112070","Garage Schnetz","ed-dc-leo"
"112071","Auto Repair Center","ed-dc-leo"
"112072","Bubble : Model Ball House in Kano","ed-dc-leo"
"112073","Kleiber Company : New Building","ed-dc-leo"
"112074","Cavern Installations : Plant M60R; Plastic Vaulted Shells","ed-dc-leo"
