"_system_object_id","oeu_nc_name_de","oeu_nc_name_en","_tags"
"112628","Isolierwerk Meier-Schenk AG : Fabrikneubau","Isolierwerk Meier-Schenk AG : New Factory Building","ed-dc-leo"
"112629","Gitterkuppel Forum Steglitz","Forum Steglitz Lattice Dome","ed-dc-leo"
"112630","Aluminium Schweisswerk AG : EC-Gebäude","Aluminum Schweisswerk AG : EC Building","ed-dc-leo"
"112631","HIB : Tenniscenter Paradies Allschwil","HIB : Tennis Centre Paradies Allschwil","ed-dc-leo"
"112632","ETHZ : Betriebswissenschaftliches Institut : Hallenbauten","ETHZ : Business Administration Institute : Hall Construction","ed-dc-leo"
"112633","Copérative de Menuiserie","Copérative de Menuiserie","ed-dc-leo"
"112634","Hallensystem in Warschau : Flughafenhallen","Hall System in Warsaw : Airport Halls","ed-dc-leo"
"112635","Centre de Pilotage de Lignières SA","Centre de Pilotage de Lignières SA","ed-dc-leo"
"112636","Karlsruher Konservenfabrik GmbH","Karlsruhe Canning Factory GmbH","ed-dc-leo"
"112637","Dr. H. Spirig - Olten, Pharmazeutische Fabrik : Neubau","Dr. H. Spirig - Olten, Pharmaceutical Factory : New Building","ed-dc-leo"
"112638","Karl Doelitzsch : Textilmaschinen : Industrie-Anlagen","Karl Doelitzsch : Textile Machines : Industrial Plants","ed-dc-leo"
"112639","Denner : Hallenbau","Denner : Hall Construction","ed-dc-leo"
"112640","Fahrzeugbau E. Aebi AG","Vehicle Construction E. Aebi AG","ed-dc-leo"
"112643","Bürohaus Waldwiese Heinz Isler","Office Building Waldwiese Heinz Isler","ed-dc-leo"
"112644","Hallen in der Schweiz","Halls in Switzerland","ed-dc-leo"
"112645","Katastrophenhaus (Elementhaus)","Emergency House (Element House)","ed-dc-leo"
"112646","Sportarena","Sports Arena","ed-dc-leo"
"112647","Mäder & Co. : Lagerhalle","Mäder & Co. : Warehouse","ed-dc-leo"
"112648","Bauisolationen F. Kilcher AG","Building Insulation F. Kilcher AG","ed-dc-leo"
"112650","Consulent-Bau AG : Früchte- und Fleischkühlhäuser","Consulent-Bau AG : Fruit and Meat Cool Houses","ed-dc-leo"
"112651","Schwimmbad Morges","Morges Swimming Pool","ed-dc-leo"
"112652","Haus + Herd, Industrie","House + Stove, Industry","ed-dc-leo"
"112653","Garage Senn","Garage Senn","ed-dc-leo"
"112654","Hotel Anfi del Mar","Hotel Anfi del Mar","ed-dc-leo"
"112655","Kunst und Medienzentrum Rheinhafen GmbH : Der Neue Zollhof : Fassade Düsseldorf","Art and Media Center Rheinhafen GmbH : The Neue Zollhof : Facade Düsseldorf","ed-dc-leo"
"112656","Schweizer Armee : Geh- und Karrensteg","Swiss Army : Walkway and Cart Bridge","ed-dc-leo"
"112657","Trickler Schaumstoff","Trickler Foam","ed-dc-leo"
"112658","HIB : JPA Nelissen : Universal Sporthalle Nr. 6 und 7","HIB : Jpa Nelissen : Universal Sports Hall No. 6 and 7","ed-dc-leo"
"112659","Maus Frères : Firma Nordmann : Lagerhaus : Neubau","Maus Frères : Nordmann Company : Warehouse : New Building","ed-dc-leo"
"112660","Kebau AG : Türkisches Kulturzentrum : Moschee","Kebau AG : Turkish Cultural Center : Mosque","ed-dc-leo"
"112661","Hüseyn","Hüseyn","ed-dc-leo"
"112662","Kupferschmiede und Apparatebau W. Jäggi & Co.","Coppersmiths and Apparatus Engineering W. Jäggi & Co.","ed-dc-leo"
"112663","Umfahrungsstrasse Wangen","Wangen Bypass Road","ed-dc-leo"
"112664","Gartencenter Ferme de Servon (heute Jardinerie Truffaut) RN 19","Garden Center Ferme de Servon (Today Jardinerie Truffaut) RN 19","ed-dc-leo"
"112665","Herr Zaugg, Geilinger","Mr. Zaugg, Geilinger","ed-dc-leo"
"112666","Meret Oppenheim-Brunnen","Meret Oppenheim Fountain","ed-dc-leo"
"112667","Dietze : Kommunikationszentrum am Stausee Hohenfelde","Dietze : Communication Center at the Hohenfelde Reservoir","ed-dc-leo"
"112668","Schenk Filterbau GmbH","Schenk Filter Construction GmbH","ed-dc-leo"
"112669","Weberei Ganahl & Co.","Weaving Mill Ganahl & Co. Frastanz","ed-dc-leo"
"112670","Arbex Team Zurich : Exhibition Hall : Möbelausstellung","Arbex Team Zurich : Exhibition Hall : Furniture Exhibition","ed-dc-leo"
"112671","Pilatus Porter : Tonnengwölbe","Pilatus Porter : Barrel Vault","ed-dc-leo"
"112672","Garage Altherr (heute Altherr Nutzfahrzeuge AG)","Garage Altherr (Today Altherr Nutzfahrzeuge AG)","ed-dc-leo"
"112673","Maschinenfabrik Wälchli","Machine Factory Wälchli","ed-dc-leo"
"112674","A. Ronx","A. Ronx","ed-dc-leo"
"112675","Bauunternehmung W. Bösiger AG","Construction Company W. Bösiger AG","ed-dc-leo"
"112676","Florélites Clause SA : Gartencenter Marseille","Florélites Clause SA : Garden Center Marseille","ed-dc-leo"
"112677","Einfamilienhaus Berchtold : Schutzraum","Berchtold Family House : Emergency Room","ed-dc-leo"
"112678","Isolierwerk Meier-Schenk AG : Fabrikneubau","Isolierwerk Meier-Schenk AG : New Factory Building","ed-dc-leo"
"112679","Gitterkuppel Forum Steglitz","Forum Steglitz Lattice Dome","ed-dc-leo"
"112680","Aluminium Schweisswerk AG : EC-Gebäude","Aluminum Schweisswerk AG : EC Building","ed-dc-leo"
"112681","HIB : Tenniscenter Paradies Allschwil","HIB : Tennis Center Paradies Allschwil","ed-dc-leo"
"112682","ETHZ : Betriebswissenschaftliches Institut : Hallenbauten","ETHZ : Business Administration Institute : Hall Construction","ed-dc-leo"
"112683","Copérative de Menuiserie","Copérative de Menuiserie","ed-dc-leo"
"112684","Hallensystem in Warschau : Flughafenhallen","Hall System in Warsaw : Airport Halls","ed-dc-leo"
"112685","Centre de Pilotage de Lignières SA","Centre de Pilotage de Lignières SA","ed-dc-leo"
"112686","Karlsruher Konservenfabrik GmbH : Neubau","Karlsruhe Canning Factory GmbH : New Building","ed-dc-leo"
"112687","Dr. H. Spirig - Olten, Pharmazeutische Fabrik : Neubau","Dr. H. Spirig - Olten, Pharmaceutical Factory : New Building","ed-dc-leo"
"112688","Karl Doelitzsch : Textilmaschinen : Industrie-Anlagen","Karl Doelitzsch : Textile Machines : Industrial Plants","ed-dc-leo"
"112689","Denner : Hallenbau","Denner : Hall Construction","ed-dc-leo"
"112690","Fahrzeugbau E. Aebi AG","Vehicle Construction E. Aebi AG","ed-dc-leo"
"112691","Motel (Albergo) Losone : Schwimmbad","Motel (Albergo) Losone: Swimming Pool","ed-dc-leo"
"112692","Sportzentrum","Sport Center","ed-dc-leo"
"112693","Zihler AG","Zihler AG","ed-dc-leo"
"112694","BV Veser : Gewerbehalle","BV Veser : Commercial Hall","ed-dc-leo"
"112695","Walter Rytz Heizungen","Walter Rytz Heaters","ed-dc-leo"
"112696","Synagoge : Kuppeln in Israel","Synagogue : Domes in Israel","ed-dc-leo"
"112697","Vorspannysteme Losinger VSL : Werk Lyssach","Vorspannysteme Losinger VSL : Plant Lyssach","ed-dc-leo"
"112698","Bauberatung Zement für Baden-Württemberg","Construction Consultancy for Cement for Baden-Württemberg","ed-dc-leo"
"112699","Lastfahrzeug-Garage W. Stutz","Truck Garage W. Stutz","ed-dc-leo"
"112700","J.F. Buchi : Einkaufszentrum","J.F. Buchi : Shopping Center","ed-dc-leo"

