_system_object_id,_id,_last_modified,oeu_nc_name_de_archive,oeu_nc_name_en_archive,oeu_nc_name_de_isler,oeu_nc_name_en_isler,_marker_de,_marker_en
"112487","17843","2023-03-28T12:05:33Z","Werner Leuenberger (Langenthal): Autoeinstellhalle Aarwangen","","Werner Leuenberger (Langenthal) : Autoeinstellhalle Aarwangen","Werner Leuenberger (Langenthal) : Aarwangen Car Park","de_nicht_identisch","en_nicht_identisch"
"112542","17898","2023-03-28T12:05:33Z","Sport Leisure + Retail Centre Daventry","","Sport Freizeit + Einzelhandelszentrum Daventry","Sport Leisure + Retail Center Daventry","de_nicht_identisch","en_nicht_identisch"
"112547","17903","2023-05-03T09:47:19Z","The Florida State University : Nautilus Foundation : Art Collection Center","","Die Florida State University : Nautilus-Stiftung : Kunstsammlungszentrum","The Florida State University: Nautilus Foundation: Art Collection Center","de_nicht_identisch","en_nicht_identisch"
"112552","17908","2023-03-28T12:05:33Z","Geiser Diät-Reformbrot AG,Münchenbuchsee","","Geiser Diät-Reformbrot AG, Münchenbuchsee","Geiser Dietary Health Bread AG, Münchenbuchsee","de_nicht_identisch","en_nicht_identisch"
"112556","17912","2021-07-26T07:34:43Z","Zwirnerei Bäumlin, Ernst & Co.","","Zwirnerei Bäumlin, Ernst & Co. Erlen","Twisting Bäumlin, Ernst & Co. Erlen","de_nicht_identisch","en_nicht_identisch"
"112568","17924","2023-05-11T15:37:31Z","Wollspinnerei Huttwil (heute Lana) : Fabrik","","Wollspinnerei Huttwil","Huttwil Wool Spinning Mill","de_nicht_identisch","en_nicht_identisch"
"112576","17932","2021-07-21T10:27:27Z","Metallbearbeitung Haba AG : Lagerhalle : Abbruch","","Metallbearbeitung Haba AG","Metalworking Haba AG","de_nicht_identisch","en_nicht_identisch"
"112577","17933","2021-07-26T10:57:51Z","Einfamilienhaus Schweizer : Luftschutzraum","","Einfamilienhaus Schweizer: Luftschutzraum","Single-Family House Schweizer: Air Raid Shelter","de_nicht_identisch","en_nicht_identisch"
"112666","18022","2021-07-21T11:55:15Z","Meret Oppenheim-Brunnen","","Meret Oppenheim Brunnen","Meret Oppenheim Fountain","de_nicht_identisch","en_nicht_identisch"
"112669","18025","2021-07-27T07:58:10Z","Weberei Ganahl & Co.","","Weberei Ganahl & Co. Frastanz","Weaving Mill Ganahl & Co. Frastanz","de_nicht_identisch","en_nicht_identisch"
"112748","18104","2021-07-27T07:53:20Z","Vorspannysteme Losinger VSL : Werk Lyssach","","Losinger & Co. AG Bern","Losinger & Co. AG Bern","de_nicht_identisch","en_nicht_identisch"
"112750","18106","2021-07-21T12:48:45Z","Lastfahrzeug-Garage W. Stutz","","Lastfahrzeug Garage W. Stutz","Truck Garage W. Stutz","de_nicht_identisch","en_nicht_identisch"
"112844","18200","2022-01-24T09:12:52Z","Schuhgrosshandel JLCO J. Lüthi + Co. AG : Erweiterung : Magazinanbau","","Schuhgrosshandel JLCO J. Lüthi + Co.","Shoe Wholesale JLCO J. Lüthi + Co.","de_nicht_identisch","en_nicht_identisch"
"112872","18228","2023-03-28T12:07:37Z","Bauingenieur G. Förster : Isler-Kuppel","","Bauingenieur G. Förster : Isler-Kuppel Knittlingen","Civil Engineer G. Förster : Isler-Dome Knittlingen","de_nicht_identisch","en_nicht_identisch"
"112881","18237","2023-02-20T16:19:19Z","Schulhaus Lyssach : Aufstockung","","Schulhaus Lyssach: Aufstockung","Lyssach School Building : Storey Addition","de_nicht_identisch","en_nicht_identisch"
"112962","18318","2021-07-21T09:50:54Z","Schenk Filterbau GmbH : Erweiterung (2. Etappe)","","Schenk Filterbau GmbH","Schenk Filter Construction GmbH","de_nicht_identisch","en_nicht_identisch"
"112963","18319","2021-07-23T06:51:13Z","Bauunternehmen Albert Kohler & Sohn : Werkhof : Erweiterung","","Bauunternehmen Albert Kohler & Sohn","Construction Company Albert Kohler & Son","de_nicht_identisch","en_nicht_identisch"
"112964","18320","2021-07-26T15:12:47Z","Metallbau H. Kohler & Sohn AG (Füglistaller Metallbau AG; heute aml AG Apparatebau und Metalltechnik)","","Metallbau H. Kohler & Sohn AG","Metal Construction H. Kohler & Sohn AG","de_nicht_identisch","en_nicht_identisch"
"112969","18325","2021-07-21T09:32:33Z","Tank- und Apparatebau Schwarz AG : Erweiterung : Werkhalle","","Tank und Apparatebau Schwarz AG","Tank and Apparatus Engineering Schwarz AG","de_nicht_identisch","en_nicht_identisch"
"112982","18338","2023-05-11T14:33:24Z","Abwasserreinigungsanlage ARA Steinhölzli: Abdeckung Neutralisation und Vorklärbecken","","Abwasserreinigungsanlage ARA Steinhölzli : Abdeckung Neutralisation und Vorklärbecken","Wastewater Treatment Plant ARA Steinholzli : Neutralization Cover and Primary Clarifier","de_nicht_identisch","en_nicht_identisch"
"113025","18381","2021-07-23T08:58:54Z","Zweifamilienhaus Geser","","Zweifamilienhaus Geser Altdorf","Duplex House Geser Altdorf","de_nicht_identisch","en_nicht_identisch"
"113044","18400","2021-07-21T13:00:54Z","Kunststoffwerke Eschmann AG : Fabrik und Bürogebäude","","Kunststoffwerke Eschmann Thun","Plastics Works Eschmann Thun","de_nicht_identisch","en_nicht_identisch"
"113058","18414","2023-05-09T15:33:26Z","BlumencenterCroy","","Blumencenter Croy","Flower Center Croy","de_nicht_identisch","en_nicht_identisch"
"113147","18503","2021-07-26T15:27:48Z","Olympiagelände München : Olympiastadion : Tribüne, Infrastruktur, Räume, Scheinwerferpylonen","","Olympiagelände München","Olympic Site Munich","de_nicht_identisch","en_nicht_identisch"
"113179","18535","2023-05-02T15:02:10Z","Burda Verlag : Papierbereitstellungshalle : Neubau","","Burda Verlag : Papierbereitstellungshalle","Burda Verlag : Paper Supply Hall","de_nicht_identisch","en_nicht_identisch"
"113180","18536","2023-03-28T12:10:56Z","Cercle des Nageurs de Marseille : Abdeckung über dem Olympischen Becken","","Cercle des Nageurs de Marseille : Abdeckung über dem Olympischen Becken Marseille","Cercle des Nageurs de Marseille : Cover Over the Olympic Pool Marseille","de_nicht_identisch","en_nicht_identisch"
"113183","18539","2021-07-21T12:28:31Z","Maschinenfabrik Liechti & Co. AG : Erweiterung","","Maschinenfabrik Liechti Langnau","Machine Factory Liechti Langnau","de_nicht_identisch","en_nicht_identisch"
"113348","18704","2021-07-26T07:34:31Z","Zuckerfabrik Aarberg AG : Dachschale auf Silo","","Zuckerfabrik Aarberg AG","Aarberg AG Sugar Factory","de_nicht_identisch","en_nicht_identisch"
"113356","18712","2021-07-22T13:11:18Z","Gartencenter Wyss Soehne AG : Ausstellungspavillon","","Gartencenter Wyss Zuchwil: Ausstellungspavillon","Garden Centre Wyss Zuchwil: Exhibition Pavilion","de_nicht_identisch","en_nicht_identisch"
"113375","18731","2023-03-28T12:10:56Z","Agie SA : Maschinenfabrik : Hauptgebäude : Neubau","","Agie SA : Maschinenfabrik : Hauptgebäude","Agie SA: Machine Factory: Main Building","de_nicht_identisch","en_nicht_identisch"
"113406","18762","2023-05-13T10:57:25Z","Motel (Albergo) Losone: Abdeckungen","","Motel (Albergo) Losone : Abdeckungen","Motel (Albergo) Losone : Covers","de_nicht_identisch","en_nicht_identisch"
"113460","18816","2023-05-02T16:20:59Z","Theater and Sport Village","","Theater- und Sportdorf","Theater and Sport Village","de_nicht_identisch","en_nicht_identisch"
"113466","18822","2023-03-28T12:12:29Z","Bowling Halle Broadland Sports Village","","Bowling Halle Broadland Sports Village Norwich","Bowling Hall Broadland Sports Village Norwich","de_nicht_identisch","en_nicht_identisch"
"113469","18825","2021-07-27T07:38:46Z","Tonwaren- und Porzellanfabrik Rössler AG : Sechsfamilienhaus","","Tonwaren- und Porzellanfabrik Rössler AG: Sechsfamilienhaus","Pottery and Porcelain Factory Rössler AG: Six-Family House","de_nicht_identisch","en_nicht_identisch"
"113479","18835","2023-05-12T07:12:59Z","Hotel Splendide Royal (Albergo Splendide) : Hallenbad","","Hotel Splendid Royal (Albergo Splendide) : Hallenbad","Hotel Splendid Royal (Albergo Splendide) : Indoor Pool","de_nicht_identisch","en_nicht_identisch"
"113482","18838","2021-07-26T07:31:57Z","Wynigenstrasse Burgdorf : Linksabbieger, Trottoir","","Wynigenstrasse Burgdorf","Wynigenstrasse Burgdorf","de_nicht_identisch","en_nicht_identisch"
"113483","18839","2023-03-28T12:12:29Z","Standard Telephon und Telegraphen AG : Produktionshalle :","","Standard Telephon und Telegraphen AG : Produktionshalle","Standard Telephone and Telegraph AG : Production Hall","de_nicht_identisch","en_nicht_identisch"
"113575","18931","2021-07-26T12:50:02Z","Golf- und Expressgarage Dürst : Erweiterung","","VW-Garage Gebrüder Dürst Davos","VW Garage Dürst Brothers Davos","de_nicht_identisch","en_nicht_identisch"
"113584","18940","2023-03-28T12:12:29Z","D. Wiederkehr-Tschopp : Anhängerbau","","D. Wiederkehr-Tschopp : Anhängerbau Zofingen","D. Wiederkehr-Tschopp : Trailer Construction Zofingen","de_nicht_identisch","en_nicht_identisch"
"113677","19033","2023-03-28T12:14:14Z","Arbeitsgemeinschaft Raunheit an der Lache : Ausmessen eines Krokodilkopfs für einen Kinderspielplatz","","Arbeitsgemeinschaft Raunheit an der Lache : Ausmessen eines Krokodilkopfs für einen Kinderspielplatz Frankfurt am Main","Raunheit an der Lache Working Group : Measuring a Crocodile Head for a Children's Playground in Frankfurt am Main","de_nicht_identisch","en_nicht_identisch"
"113689","19045","2021-03-11T17:24:11Z","Hotel Kreuz : Umbauten und Anbau Ladenpassage : An- und Umbau","","Hotel Kreuz: Umbauten und Anbau Ladenpassage: An- und Umbau","Hotel Kreuz: Conversions and extension Ladenpassage: Extension and conversion","de_nicht_identisch","en_nicht_identisch"
"113759","19115","2021-07-23T06:53:39Z","Bardet & Cie.","","Bardet & Cie. Herblay-sur-Seine","Bardet & Cie. Herblay-sur-Seine","de_nicht_identisch","en_nicht_identisch"
"113850","19206","2023-05-23T09:56:15Z","Autohaus Moser (Stadion-Garage Thun / Touring-Garage) : Garage, Tankstellendach und Motorenfahrzeughalle","","Autohaus Moser Thun","Garage Moser Thun","de_nicht_identisch","en_nicht_identisch"
"113870","19226","2021-07-27T07:17:01Z","Ruwa Drahtschweisswerk AG : Kabelstollen","","Ruwa Drahtschweisswerk AG Sumiswald","Ruwa Wire Welding Plant AG Sumiswald","de_nicht_identisch","en_nicht_identisch"
"113875","19231","2021-07-26T09:06:26Z","Autogarage Leuenberger","","Autogarage Leuenberger Langnau im Emmental","Garage Leuenberger Langnau im Emmental","de_nicht_identisch","en_nicht_identisch"
"113886","19242","2021-07-21T08:33:07Z","Webereimaschinenfabrik Franz Morat : I a","","Webereimaschinenfabrik Morat Ia","Weaving Machine Factory Morat Ia","de_nicht_identisch","en_nicht_identisch"
"113962","19318","2021-07-21T08:29:29Z","Webereimaschinenfabrik Franz Morat : III (VI a)","","Webereimaschinenfabrik Morat III","Weaving Machine Factory Morat III","de_nicht_identisch","en_nicht_identisch"
"113986","19342","2023-03-30T09:46:01Z","Carrosseriewerk Ramseier & Jenzer AG","","Carrosseriewerk Ramseier & Jenzer AG Biel","Car Body Factory Ramseier & Jenzer AG","de_nicht_identisch","en_nicht_identisch"
"113988","19344","2021-07-23T06:54:59Z","Autovertretung AG AVAG","","Autovertretung AVAG Solothurn","Car Agency AVAG Solothurn","de_nicht_identisch","en_nicht_identisch"
"114091","19447","2021-07-26T13:40:52Z","Kunststoffwerk Worbla AG (später Gurrit AG) : Kalandereinbau","","Kunststoffwerke Worbla","Plastics Works Worbla","de_nicht_identisch","en_nicht_identisch"
"114152","19508","2021-07-27T07:06:29Z","Moser AG Fahrzeugbau : Anbau Spritzanlage","","Moser AG Fahrzeugbau","Moser AG Vehicle Construction","de_nicht_identisch","en_nicht_identisch"
"114191","19547","2023-02-22T18:07:13Z","Rasenpflegemaschinen Rudolf Kuert & W. Weber : Doppelgarage mit Geräteraum","","Rasenpflegemaschinen R. Kuert & W. Weber : Doppelgarage mit Geräteraum","Lawn Care Machines R. Kuert & W. Weber : Double Garage With Equipment Room","de_nicht_identisch","en_nicht_identisch"
"114245","19601","2023-05-03T09:25:31Z","Schule St. Gérin : Plastik","","Schule St. Gérin: Plastik","St. Gérin School : Sculpture","de_nicht_identisch","en_nicht_identisch"
"114252","19608","2023-05-09T22:41:28Z","SBB-Unterführung Nassi : generelles Strassen-Projekt und Vorprojekt Kunstbauten.","","SBB-Unterführung Nassi: generelles Strassen-Projekt und Vorprojekt Kunstbauten","SBB Underpass Nassi: General Road Project and Preliminary Project Engineering Structures","de_nicht_identisch","en_nicht_identisch"
"114260","19616","2023-02-09T14:43:58Z","Wehrmannsdenkmal Lueg : Renovation","","Wehrmannsdenkmal Lueg","Military Memorial Lueg","de_nicht_identisch","en_nicht_identisch"
"114263","19619","2023-05-03T09:41:59Z","Wasserbehälter im Fernstallwald","","Wasserbehälter im Fernstallwald Burgdorf","Water Reservoir in the Fernstallwald Burgdorf","de_nicht_identisch","en_nicht_identisch"
"114285","19641","2023-05-23T09:56:15Z","Autohaus Moser (Stadion-Garage Thun / Touring-Garage) : Waschstrasse","","Autohaus Moser Thun","Garage Moser Thun","de_nicht_identisch","en_nicht_identisch"
"114350","19706","2023-02-22T18:09:44Z","Rasenpflegemaschinen Rudolf Kuert & W. Weber : Neubau Einfamilienhaus","","Rasenpflegemaschinen R. Kuert & W. Weber : Neubau Einfamilienhaus","Lawn Care Machines R. Kuert & W. Weber : New Building Single Family House","de_nicht_identisch","en_nicht_identisch"
"114363","19719","2021-07-27T07:18:41Z","Ruwa Drahtschweisswerk AG : Stützmauer","","Ruwa Drahtschweisswerk AG Sumiswald","Ruwa Wire Welding Plant AG Sumiswald","de_nicht_identisch","en_nicht_identisch"
"114364","19720","2021-07-26T07:30:54Z","Wohnhaus Lüthi : Vordach","","Wohnhaus Lüthi","Residential Building Lüthi","de_nicht_identisch","en_nicht_identisch"
"114383","19739","2023-03-08T15:17:25Z","Hotel Kreuz : Saalbau : Sanierung nach Brandfall und Umbau zu Dancing Crystal Palace","","Hotel Kreuz : Saalbau : Sanierung nach Brandfall","Hotel Kreuz : Hall Construction : Rehabilitation after fire","de_nicht_identisch","en_nicht_identisch"
"114448","19804","2023-05-03T10:09:24Z","Maison des Jeunes et de la Culture MJC und Bibliothek Chamonix","","Haus der Jugend und Kultur MJC und Bibliothek Chamonix","House of Youth and Culture and Library Chamonix","de_nicht_identisch","en_nicht_identisch"
"114450","19806","2023-05-02T12:40:27Z","Florélites Clause SA: Gartencenter Saint-Berthevin : Verkaufsraum und Ausstellungspavillon (heute La Maison des Tissus)","","Florélites Clause SA : Gartencenter Saint-Berthevin : Verkaufsraum und Ausstellungspavillon","Florélites Clause SA : Saint-Berthevin Garden Centre : Salesroom and Exhibition Pavilion","de_nicht_identisch","en_nicht_identisch"
"114478","19834","2023-05-03T15:32:23Z","Verband landwirtschaftlicher Genossenschaften VLG / BSG Lyssach : Lagerhalle in Stahl","","Verband Landwirtschaftlicher Genossenschaften VLG / BSG Lyssach : Lagerhalle in Stahl Lyssach","Association of Agricultural Cooperatives VLG : Bsg Lyssach : Warehouse in Steel","de_nicht_identisch","en_nicht_identisch"
"114482","19838","2021-07-27T07:52:10Z","Vorspannysteme Losinger VSL : Werk Lyssach","","Vorspannsysteme Losinger VSL","Vorspannsysteme Losinger VSL","de_nicht_identisch","en_nicht_identisch"
"114489","19845","2021-07-26T07:33:20Z","Zawra Tower","","Zawra Tower Baghdad","Zawra Tower Baghdad","de_nicht_identisch","en_nicht_identisch"
"114490","19846","2021-07-21T09:49:47Z","Schenk Filterbau GmbH : Erweiterung (3. Etappe)","","Schenk Filterbau GmbH","Schenk Filter Construction GmbH","de_nicht_identisch","en_nicht_identisch"
"114577","19933","2023-05-02T08:31:44Z","Stahlplattenfabrikation Haba AG : Erweiterung der Speditionshalle F","","Stahlplattenfabrikation Haba AG","Steel Plate Fabrication Haba AG","de_nicht_identisch","en_nicht_identisch"
"114579","19935","2023-05-11T14:48:26Z","Armeemotorfahrzeugpark AMP Lochbach Burgdorf : Einstellhallen II, III, V","","Armeemotorfahrzeugpark AMP Lochbach Burgdorf","Army Motor Vehicle Park AMP Lochbach Burgdorf","de_nicht_identisch","en_nicht_identisch"
"114644","20000","2021-07-21T08:39:38Z","Webereimaschinenfabrik Franz Morat : I","","Webereimaschinenfabrik Morat I","Weaving Machine Factory Morat I","de_nicht_identisch","en_nicht_identisch"
"114669","20025","2023-05-02T16:36:35Z","Solarex Building","","Solarex Gebäude","Solarex Building","de_nicht_identisch","en_nicht_identisch"
"114741","20097","2023-05-14T11:37:40Z","Carrosserie Rusterholz AG","Carrosserie Rusterholz AG","Carrosseriewerk Rusterholz AG Richterswil","Bodywork Rusterholz AG Richterswil","de_nicht_identisch","en_nicht_identisch"
"114864","20220","2021-09-20T16:58:43Z","HIB: Tennishallen","","HIB : Tennishallen","HIB : Indoor Tennis Courts","de_nicht_identisch","en_nicht_identisch"
"114867","20223","2023-02-03T10:26:20Z","Vorspannysteme Losinger VSL : Werk Lyssach: Umbau Haupteingang","","Vorspannsystem Losinger VSL: Werk Lyssach: Umbau Haupteingang Lyssach (Politische Gemeinde)","Losinger VSL Pre-Tensioning System: Lyssach Plant: Reconstruction of Main Entrance Lyssach (political community)","de_nicht_identisch","en_nicht_identisch"
"114880","20236","2023-03-16T15:44:16Z","Ford-Garage Fritz Schläpfer & Co.","","Ford Garage Fritz Schläpfer & Co.","Ford Garage Fritz Schläpfer & Co.","de_nicht_identisch","en_nicht_identisch"
"114945","20301","2021-07-27T07:15:21Z","Ruwa Drahtschweisswerk AG : Büroanbau","","Ruwa Drahtschweisswerk AG Sumiswald","Ruwa Wire Welding Plant AG Sumiswald","de_nicht_identisch","en_nicht_identisch"
"114970","20326","2023-03-28T12:21:12Z","Biogas-Behälter Thierrens","","Biogas-Behälter Thierrens Thierrens","Biogas Tank Thierrens Thierrens","de_nicht_identisch","en_nicht_identisch"
"115052","20408","2021-07-26T07:31:11Z","Wohnüberbauung Gyrischachen (Gyri Ost)","","Wohnüberbauung Gyrischachen","Housing Development Gyrischachen","de_nicht_identisch","en_nicht_identisch"
"115053","20409","2021-07-29T16:37:25Z","Armed Forces Officers Club Building","","Offiziersclub der Streitkräfte Abū Z̧aby","Armed Forces Officers Club Building Abū Z̧aby","de_nicht_identisch","en_nicht_identisch"
"115056","20412","2023-05-03T09:41:28Z","Wohnhaus Signau: Überdachung Gartensitzplatz","","Wohnhaus Signau : Überdachung Gartensitzplatz","Signau Residential Building : Roofing Patio","de_nicht_identisch","en_nicht_identisch"
"115066","20422","2023-05-03T16:11:18Z","Bubble System AG : Bürogebäude S. Kisling & Cie","","Bubble System AG : Bürogebäude S. Kisling & Cie.","Bubble System AG : Office Building S. Kisling & Cie.","de_nicht_identisch","en_nicht_identisch"
"115090","20446","2021-07-21T13:21:53Z","Kimmich & Co","","Kimmich & Co.","Kimmich & Co.","de_nicht_identisch","en_nicht_identisch"
"115152","20508","2021-07-21T11:47:11Z","Metallbau H. Kohler & Sohn AG (Füglistaller Metallbau AG; heute aml AG Apparatebau und Metalltechnik)","","Metalbau H. Kohler & Sohn AG","Metal Construction  H. Kohler & Sohn AG","de_nicht_identisch","en_nicht_identisch"
"115242","20598","2023-05-11T14:55:29Z","Auto-Carrosseriewerk W. Bohnenblust","","Carrosseriewerk W. Bohnenblust","Car Bodywork W. Bohnenblust","de_nicht_identisch","en_nicht_identisch"
"115248","20604","2023-03-21T12:25:05Z","Expo 64 Lausanne : Sektor 5 : Halle Waren und Werte: Polyesterpilze","","Expo 64 Lausanne : Sektor 5 : Halle Waren und Werte : Polyesterpilze","Expo 64 Lausanne : Sector 5 : Hall Goods and Values : Polyester Mushrooms","de_nicht_identisch","en_nicht_identisch"
